"year"	"month"	"SST_degC"
1988	3	19.2440984706656
1988	4	18.6514916208723
1988	5	17.39107803392
1988	6	16.4015779919564
1988	7	14.5942240753228
1988	8	13.9940355252793
1988	9	14.2965982608476
1988	10	15.3719654661106
1988	11	16.9381155236198
1988	12	19.2691357133525
1989	1	20.5848251846875
1989	2	20.9481296815632
1989	3	21.1937415059493
1989	4	19.5462204097077
1989	5	18.1607087686261
1989	6	16.330697910547
1989	7	14.8434504312236
1989	8	14.3495820032942
1989	9	14.6967533473117
1989	10	15.8554310960223
1989	11	17.4046545669262
1989	12	18.3641804451098
1990	1	19.678812004782
1990	2	21.7479990579651
1990	3	21.238173795788
1990	4	19.7128414966029
1990	5	17.6405688677365
1990	6	15.9733000871222
1990	7	14.5880529239563
1990	8	14.2242194712493
1990	9	14.4025657457407
1990	10	15.3602402785143
1990	11	17.3602222770875
1990	12	18.8934007544386
1991	1	19.8500173755494
1991	2	20.95817984236
1991	3	19.7330299775018
1991	4	18.6930146536383
1991	5	16.8770211250916
1991	6	15.2630887241447
1991	7	14.0262136716902
1991	8	13.372953219895
1991	9	13.7917099197637
1991	10	14.2194588687665
1991	11	15.7115551098779
1991	12	17.3861411128268
1992	1	19.7570093085259
1992	2	19.986487980054
1992	3	18.5665942099305
1992	4	17.2376808428101
1992	5	15.8097645759103
1992	6	14.3948958861853
1992	7	13.2222889672475
1992	8	12.3739319729659
1992	9	12.9369172962
1992	10	14.0594497297641
1992	11	16.580717700195
1992	12	18.2122819621889
1993	1	19.5895066285784
1993	2	19.1846790989368
1993	3	19.1082449812976
1993	4	18.3055545071281
1993	5	16.8905094987926
1993	6	15.069667208458
1993	7	13.5712234973697
1993	8	13.1893173870894
1993	9	13.3556739960688
1993	10	14.8146223384116
1993	11	16.0318378657986
1993	12	17.6051288270318
1994	1	19.9024721621645
1994	2	20.4942855782106
1994	3	19.6317349357862
1994	4	18.2843081145664
1994	5	16.7296187667378
1994	6	14.7438304163075
1994	7	13.4739837836949
1994	8	13.2594040347516
1994	9	13.4390726988216
1994	10	14.1866636072189
1994	11	15.7765285178365
1994	12	18.1041104946649
1995	1	19.4266763918084
1995	2	20.597343806031
1995	3	20.6099505866796
1995	4	19.8167813174756
1995	5	17.8046333347799
1995	6	15.7203710404014
1995	7	13.8673506036558
1995	8	12.8346525021268
1995	9	14.0272715833531
1995	10	15.0301718397125
1995	11	16.4843595795725
1995	12	19.0811800745903
1996	1	20.4703944064918
1996	2	21.0453693952379
1996	3	20.1671263964816
1996	4	19.069454886994
1996	5	17.2168752467745
1996	6	15.5533973162854
1996	7	14.0333545754143
1996	8	13.3851192040175
1996	9	14.0336190533301
1996	10	15.5782582403617
1996	11	16.2877643288973
1996	12	18.099261732877
1997	1	19.2903821059142
1997	2	20.2611042158627
1997	3	20.6073939668278
1997	4	18.999103761416
1997	5	17.0028244536627
1997	6	15.4049370462687
1997	7	13.9174250890296
1997	8	13.1678946759172
1997	9	13.8353487758553
1997	10	15.1572093985569
1997	11	16.6247091935075
1997	12	18.8747109817287
1998	1	20.1031227408806
1998	2	22.2610862144359
1998	3	21.198854745653
1998	4	19.5936501159245
1998	5	17.9124521650829
1998	6	16.4300534475475
1998	7	15.3990303728179
1998	8	14.4361544410355
1998	9	14.812153877865
1998	10	15.9618393774416
1998	11	17.3900201222571
1998	12	19.0648706031217
1999	1	21.3434360062393
1999	2	21.2982984419587
1999	3	20.7906771624125
1999	4	19.7809004802447
1999	5	18.0072234182111
1999	6	16.7454874416802
1999	7	15.1112784005292
1999	8	14.2328590831623
1999	9	14.974984114635
1999	10	16.4224717472972
1999	11	18.309257197948
1999	12	18.8445604993381
2000	1	19.5628825183973
2000	2	20.7982588626627
2000	3	20.3666309042296
2000	4	19.4352278444162
2000	5	17.7013106290438
2000	6	15.7239855719161
2000	7	14.6920809041342
2000	8	14.0870435923028
2000	9	14.489138183482
2000	10	15.3583007737991
2000	11	16.5289681880217
2000	12	18.8341577013204
2001	1	20.0199885160435
2001	2	20.4088592114374
2001	3	20.9591495947176
2001	4	19.3343735992268
2001	5	18.1864512857549
2001	6	16.1434475462267
2001	7	14.6737437686452
2001	8	13.9290621173207
2001	9	14.4045052504559
2001	10	16.1473265556571
2001	11	17.6017787734329
2001	12	19.7909506410416
2002	1	20.3909628724746
2002	2	20.774015053723
2002	3	20.3732428521222
2002	4	18.7128504973163
2002	5	17.3523760989216
2002	6	15.6446421972041
2002	7	14.8317252436273
2002	8	13.8822495262406
2002	9	13.7835992636821
2002	10	15.0938228580925
2002	11	16.1751848961115
2002	12	18.4659162833515
2003	1	19.8280657085457
2003	2	20.3292513588097
2003	3	20.0694458862806
2003	4	19.5972646474391
2003	5	17.7257307565941
2003	6	16.4481261051207
2003	7	14.6854689562416
2003	8	13.919805390271
2003	9	13.8626781604783
2003	10	15.2223591251259
2003	11	16.6588268446336
2003	12	19.0516467073364
2004	1	21.1858953277834
2004	2	20.3332185275453
2004	3	18.9529964447779
2004	4	17.6949631590668
2004	5	16.5257944530333
2004	6	15.2137195132129
2004	7	14.0853685655033
2004	8	13.4075998268525
2004	9	13.4630520298457
2004	10	14.8931722793764
2004	11	17.1273053926553
2004	12	17.0414382293558
2005	1	18.9862325028516
2005	2	21.4135226539015
2005	3	21.2574806836346
2005	4	19.9422320088258
2005	5	18.1141606554618
2005	6	15.9080622012479
2005	7	14.5374494827511
2005	8	14.1618026831425
2005	9	14.6420064187604
2005	10	15.8817025689825
2005	11	17.6930236543517
2005	12	19.2931150443765
2006	1	20.4483545801829
2006	2	21.9765079771356
2006	3	20.3802955965411
2006	4	19.9334160783022
2006	5	18.132938587477
2006	6	16.0028334543761
2006	7	14.228980073732
2006	8	13.5331386775079
2006	9	14.1505182920724
2006	10	15.3737286522153
2006	11	16.4569420356443
2006	12	17.300891064664
2007	1	19.5072539967937
2007	2	20.4869683558761
2007	3	20.3988090506406
2007	4	19.3316406607644
2007	5	17.9891507606378
2007	6	15.8666273277872
2007	7	14.3370633819507
2007	8	13.9032314408867
2007	9	14.1820793233467
2007	10	15.2176866819484
2007	11	16.8644143444429
2007	12	19.0108289490124
2008	1	20.8734587500286
2008	2	21.3468742191434
2008	3	20.8790127862585
2008	4	19.7218337457369
2008	5	17.2699471485263
2008	6	15.6265695396309
2008	7	13.8812797738831
2008	8	13.0338925319591
2008	9	14.2030612379927
2008	10	15.062173667513
2008	11	16.716218552342
2008	12	18.7814384367895
2009	1	20.6061597365545
2009	2	21.4837856201742
2009	3	20.5458587717734
2009	4	19.0509414328945
2009	5	16.9219823707617
2009	6	14.5738592758134
2009	7	13.2914058625521
2009	8	13.3807993980609
2009	9	14.341647665823
2009	10	15.1195653752213
2009	11	16.285031390435
2009	12	18.5365318868452
2010	1	20.0023566549964
2010	2	21.3587757253502
2010	3	20.8265579996433
2010	4	19.2066307659405
2010	5	17.7654906032553
2010	6	15.7735311014584
2010	7	14.173968667265
2010	8	13.6693448040968
2010	9	14.0245386448908
2010	10	15.0977900268281
2010	11	17.1593072204558
2010	12	19.5530968355161
2011	1	21.2743191109346
2011	2	21.7736534157887
2011	3	21.2962707779382
2011	4	19.7266825075249
2011	5	17.9158903779871
2011	6	16.2815931775308
2011	7	14.3194315209036
2011	8	13.357613500784
2011	9	13.8978537232673
2011	10	15.3411978685834
2011	11	16.9204836625727
2011	12	18.442113270938
2012	1	19.9398517075844
2012	2	20.6981098919152
2012	3	19.5299109382392
2012	4	19.0335740497631
2012	5	17.2940146388557
2012	6	15.8571061228217
2012	7	14.1542209828922
2012	8	14.0628879426682
2012	9	14.5697157884673
2012	10	14.9508284650005
2012	11	16.0936375387687
2012	12	18.5128170337369
2013	1	20.0255425522733
2013	2	20.9820710140788
2013	3	21.0146017977107
2013	4	20.020164834654
2013	5	18.1552428917016
2013	6	15.9964859843991
2013	7	14.2618634945848
2013	8	13.9771970979793
2013	9	14.231624852889
2013	10	15.649843596213
2013	11	17.9344038320865
2013	12	19.8686189889541
2014	1	20.0636273721351
2014	2	20.4960487643154
2014	3	20.3361277846181
2014	4	19.992130175589
2014	5	18.252747083292
2014	6	16.2884696033392
2014	7	14.4859644484935
2014	8	13.6185650442812
2014	9	14.0565404726913
2014	10	15.14715923776
2014	11	16.4212375170239
2014	12	18.2619156510366
2015	1	21.41669638889
2015	2	21.5997151065589
2015	3	21.4888988598779
2015	4	19.9501663462969
2015	5	17.7415994315365
2015	6	15.4362335996273
2015	7	13.6515366244392
2015	8	13.1346586178433
2015	9	13.7059309157696
2015	10	15.0721356690046
2015	11	16.9036452352727
2015	12	18.707120142476
2016	1	20.8835089108255
2016	2	22.5252996522268
2016	3	22.0016333791277
2016	4	20.4823840720038
2016	5	18.8253417707968
2016	6	16.2386595958811
2016	7	14.7213497934724
2016	8	13.8030824701391
2016	9	14.3907523988392
2016	10	15.7305975198088
2016	11	16.8797540635539
2016	12	18.5838734337567
2017	1	19.377130862266
2017	2	20.8453359316585
2017	3	20.9535073991825
2017	4	20.1029464222701
2017	5	17.9088376335683
2017	6	16.0297220424729
2017	7	14.5421219259286
2017	8	14.0526614632609
2017	9	14.6090348386024
2017	10	15.6851954776124
2017	11	17.5878496032057
2017	12	20.8932064344014
2018	1	21.8224055115839
2018	2	22.5687621897079
2018	3	21.8272542733719
2018	4	20.1226941066429
2018	5	18.2657946604669
2018	6	15.5518986080963
2018	7	14.091627876175
2018	8	14.0682656602876
2018	9	14.4530810276407
2018	10	15.8869039679913
2018	11	17.3009792239693
2018	12	19.641785096583
2019	1	21.3939512881392
2019	2	22.0626396183507
2019	3	21.6388578380835
2019	4	20.20397698607
2019	5	18.3854268376715
2019	6	16.2669587328617
2019	7	14.8167381617373
2019	8	13.9376135699285
2019	9	14.2115245312953
2019	10	15.0828911042433
2019	11	17.2362702939264
2019	12	19.5180094320324
2020	1	19.9710601016378
2020	2	21.8756537319462
2020	3	21.0868924280039
2020	4	19.5165107238434
2020	5	17.5314276478549
2020	6	16.0069769417221
2020	7	14.5266940475123
2020	8	13.9723483361913
2020	9	14.2396473496655
2020	10	16.0829702628352
2020	11	18.3865729086396
2020	12	19.2826240870535
2021	1	20.8722245197553
2021	2	21.1046124483562
2021	3	21.0340850041678
2021	4	20.0316255443346
2021	5	18.1718168410858
2021	6	16.187350880234
2021	7	14.5723605676244
2021	8	13.9825748155987
2021	9	14.2323301273309
2021	10	15.756516355548
2021	11	18.3651501974673
2021	12	20.9183318363935
2022	1	21.8196725731216
2022	2	22.6954471113314
2022	3	22.1500054898391
2022	4	20.9012289311778
2022	5	18.8358327281198
2022	6	16.5643200694212
2022	7	14.8177960734001
2022	8	14.507475318971
2022	9	15.143015750414
2022	10	16.0594317283373
2022	11	18.1863631264497
2022	12	19.7694397705641
2023	1	21.2135773496273
2023	2	21.588518874794
2023	3	21.1270930711913
2023	4	19.568789191848
2023	5	18.0145406405456
2023	6	15.9904029923379
2023	7	14.6955191170384
2023	8	13.6927951792895
2023	9	14.5487338738212
2023	10	15.7424990260155
2023	11	17.4300444468341
2023	12	19.2471840463488
